#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
     84.00,    1,       99.1,    23.6696,    0.22014,     138.44,  13.435433,  IDM,           37,        4,        4, , 1970-01-01T00:01:24Z,    99.1086
     85.00,    1,      122.8,    23.7521,   -0.00838,     125.37,  12.694035,  IDM,           37,        4,        4, , 1970-01-01T00:01:25Z,   122.8375
     86.00,    1,      146.6,    23.6677,   -0.13727,     113.05,  11.957753,  IDM,           37,        4,        4, , 1970-01-01T00:01:26Z,   146.5578
     87.00,    1,      170.1,    23.4793,   -0.22738,     101.44,  11.263446,  IDM,           37,        4,        4, , 1970-01-01T00:01:27Z,   170.1386
     87.00,    1,      110.5,    16.5442,    4.26501,      53.68,  -6.935095,  IDM,           40,        4,        4, , 1970-01-01T00:01:27Z,   110.4628
     88.00,    1,      193.5,    23.2073,   -0.30831,      90.51,  10.606198,  IDM,           37,        4,        4, , 1970-01-01T00:01:28Z,   193.4886
     88.00,    1,      128.9,    20.2084,    3.08064,      58.55,  -2.998977,  IDM,           40,        4,        4, , 1970-01-01T00:01:28Z,   128.9401
     89.00,    1,      150.4,    22.5076,    1.71890,     146.34,   9.610012,  IDM,           40,        4,        4, , 1970-01-01T00:01:29Z,   150.4107
     90.00,    1,      173.6,    23.6839,    0.79451,     136.19,  10.549816,  IDM,           40,        4,        4, , 1970-01-01T00:01:30Z,   173.5810
     91.00,    1,      197.5,    24.1542,    0.25446,     125.46,  10.835586,  IDM,           40,        4,        4, , 1970-01-01T00:01:31Z,   197.5431
     94.00,    1,        5.9,    15.7052,    4.47725,     211.76,   2.666363,  IDM,           44,        4,        4, , 1970-01-01T00:01:34Z,     5.9198
     95.00,    1,       23.7,    19.7445,    3.61294,     207.09,   6.538760,  IDM,           44,        4,        4, , 1970-01-01T00:01:35Z,    23.7181
     96.00,    1,       45.1,    22.7251,    2.44651,     199.03,   9.404481,  IDM,           44,        4,        4, , 1970-01-01T00:01:36Z,    45.0501
     97.00,    1,       68.7,    24.2633,    0.89924,     138.47,  13.071782,  IDM,           44,        4,        4, , 1970-01-01T00:01:37Z,    68.6900
     98.00,    1,       93.3,    24.7729,    0.24190,     125.18,  13.405840,  IDM,           44,        4,        4, , 1970-01-01T00:01:38Z,    93.2608
     99.00,    1,      118.1,    24.7867,   -0.14238,     111.82,  13.259265,  IDM,           44,        4,        4, , 1970-01-01T00:01:39Z,   118.0713
    100.00,    1,      142.7,    24.5047,   -0.38249,      98.76,  12.832898,  IDM,           44,        4,        4, , 1970-01-01T00:01:40Z,   142.7363
    101.00,    1,      167.0,    24.0197,   -0.56437,      86.22,  12.219086,  IDM,           44,        4,        4, , 1970-01-01T00:01:41Z,   167.0133
    101.00,    1,      104.2,    14.8492,    4.83556,      56.82,  -9.170456,  IDM,           47,        4,        4, , 1970-01-01T00:01:41Z,   104.1970
    102.00,    1,      190.7,    22.5362,   -9.00000,      11.60,  10.501688,  IDM,           44,        4,        4, , 1970-01-01T00:01:42Z,   190.6771
    102.00,    1,      121.4,    19.4887,    4.38807,      63.27,  -3.047588,  IDM,           47,        4,        4, , 1970-01-01T00:01:42Z,   121.4044
    103.00,    1,      142.7,    22.4428,    1.19122,      60.06,   8.906571,  IDM,           47,        4,        4, , 1970-01-01T00:01:43Z,   142.6502
    104.00,    1,      164.7,    21.1859,   -2.09809,      48.34,  11.717598,  IDM,           47,        4,        4, , 1970-01-01T00:01:44Z,   164.7256
    105.00,    1,      185.0,    19.3480,   -1.61644,      38.19,   8.655425,  IDM,           47,        4,        4, , 1970-01-01T00:01:45Z,   184.9507
    108.00,    1,        0.0,    13.8800,    0.00000,     231.11,  -1.881176,  IDM,           51,        4,        4, , 1970-01-01T00:01:48Z,     0.0000
    109.00,    1,       16.1,    18.1054,    3.77268,     189.21,   7.252524,  IDM,           51,        4,        4, , 1970-01-01T00:01:49Z,    16.0695
    110.00,    1,       35.8,    21.2229,    2.55306,     180.33,  10.286815,  IDM,           51,        4,        4, , 1970-01-01T00:01:50Z,    35.8358
    111.00,    1,       58.1,    23.1182,    1.40032,     169.12,  11.926103,  IDM,           51,        4,        4, , 1970-01-01T00:01:51Z,    58.1007
    112.00,    1,       81.8,    24.0559,    0.61957,     156.81,  12.564825,  IDM,           51,        4,        4, , 1970-01-01T00:01:52Z,    81.7504
    113.00,    1,      105.9,    24.0951,   -0.28380,     102.71,  11.001167,  IDM,           51,        4,        4, , 1970-01-01T00:01:53Z,   105.9195
    114.00,    1,      129.9,    23.7584,   -0.37962,      91.86,  10.686969,  IDM,           51,        4,        4, , 1970-01-01T00:01:54Z,   129.8541
    115.00,    1,      153.4,    23.3242,   -0.48033,      81.37,  10.278092,  IDM,           51,        4,        4, , 1970-01-01T00:01:55Z,   153.4037
    116.00,    1,      176.5,    22.7825,   -0.59426,      71.34,   9.764665,  IDM,           51,        4,        4, , 1970-01-01T00:01:56Z,   176.4665
    116.00,    1,      113.9,    17.4886,    4.27209,      56.57,  -5.293912,  IDM,           54,        4,        4, , 1970-01-01T00:01:56Z,   113.8968
    117.00,    1,      198.9,    22.1190,   -0.72179,      61.88,   9.130692,  IDM,           51,        4,        4, , 1970-01-01T00:01:57Z,   198.9278
    117.00,    1,      133.3,    21.1268,    3.01942,      59.62,  -0.992183,  IDM,           54,        4,        4, , 1970-01-01T00:01:57Z,   133.3113
    118.00,    1,      155.6,    23.2836,    1.46682,      59.02,   1.959157,  IDM,           54,        4,        4, , 1970-01-01T00:01:58Z,   155.6452
    119.00,    1,      179.4,    24.0567,    0.28607,      56.12,   3.655350,  IDM,           54,        4,        4, , 1970-01-01T00:01:59Z,   179.4106
    123.00,    1,        9.2,    16.6198,    4.42678,     221.55,   4.731071,  IDM,           57,        4,        4, , 1970-01-01T00:02:03Z,     9.1592
    124.00,    1,       27.8,    20.6103,    3.57208,     214.95,   8.323592,  IDM,           57,        4,        4, , 1970-01-01T00:02:04Z,    27.8467
    125.00,    1,       50.0,    23.5712,    2.44592,     205.22,  10.963833,  IDM,           57,        4,        4, , 1970-01-01T00:02:05Z,    50.0313
